Date,RF,MP,Year
1962-02,4.04,3.56,1962
1962-03,3.93,3.56,1962
1962-04,3.9,3.56,1962
1962-05,3.87,3.56,1962
1962-06,3.91,3.56,1962
1962-07,3.94,3.56,1962
1962-08,3.98,3.56,1962
1962-09,3.95,3.56,1962
1962-10,3.93,3.56,1962
1962-11,3.92,3.56,1962
1962-12,3.92,3.5,1962
1963-01,3.92,3.44,1963
1963-02,3.92,3.38,1963
1963-03,3.93,3.38,1963
1963-04,3.97,3.38,1963
1963-05,3.93,3.38,1963
1963-06,3.98,3.38,1963
1963-07,4.02,3.38,1963
1963-08,4.0,3.38,1963
1963-09,4.05,3.38,1963
1963-10,4.11,3.38,1963
1963-11,4.12,3.38,1963
1963-12,4.14,3.37,1963
1964-01,4.17,3.35,1964
1964-02,4.19,3.34,1964
1964-03,4.21,3.32,1964
1964-04,4.23,3.31,1964
1964-05,4.2,3.31,1964
1964-06,4.17,3.31,1964
1964-07,4.19,3.31,1964
1964-08,4.19,3.31,1964
1964-09,4.2,3.31,1964
1964-10,4.19,3.31,1964
1964-11,4.18,3.31,1964
1964-12,4.18,3.31,1964
1965-01,4.2,3.32,1965
1965-02,4.21,3.32,1965
1965-03,4.21,3.32,1965
1965-04,4.2,3.32,1965
1965-05,4.21,3.32,1965
1965-06,4.21,3.32,1965
1965-07,4.2,3.32,1965
1965-08,4.25,3.32,1965
1965-09,4.29,3.32,1965
1965-10,4.35,3.32,1965
1965-11,4.45,3.32,1965
1965-12,4.62,3.32,1965
1966-01,4.72,3.5,1966
1966-02,4.83,3.68,1966
1966-03,4.87,3.68,1966
1966-04,4.75,3.68,1966
1966-05,4.78,3.68,1966
1966-06,4.81,3.68,1966
1966-07,5.02,3.68,1966
1966-08,5.22,3.68,1966
1966-09,5.18,3.68,1966
1966-10,5.17,3.68,1966
1966-11,5.16,3.68,1966
1966-12,4.84,3.68,1966
1967-01,4.73,3.44,1967
1967-02,4.63,3.2,1967
1967-03,4.54,3.2,1967
1967-04,4.69,3.2,1967
1967-05,4.85,3.2,1967
1967-06,5.02,3.2,1967
1967-07,5.15,3.2,1967
1967-08,5.28,3.2,1967
1967-09,5.3,3.2,1967
1967-10,5.53,3.2,1967
1967-11,5.75,3.2,1967
1967-12,5.7,3.2,1967
1968-01,5.63,3.1,1968
1968-02,5.56,3.0,1968
1968-03,5.74,3.0,1968
1968-04,5.64,3.0,1968
1968-05,5.87,3.0,1968
1968-06,5.68,3.0,1968
1968-07,5.5,3.0,1968
1968-08,5.42,3.0,1968
1968-09,5.5,3.0,1968
1968-10,5.58,3.0,1968
1968-11,5.7,3.0,1968
1968-12,5.79,3.15,1968
1969-01,5.89,3.3,1969
1969-02,5.98,3.44,1969
1969-03,6.08,3.59,1969
1969-04,6.17,3.74,1969
1969-05,6.32,3.74,1969
1969-06,6.52,3.74,1969
1969-07,6.72,3.74,1969
1969-08,6.69,3.74,1969
1969-09,6.89,3.74,1969
1969-10,7.1,3.74,1969
1969-11,7.37,3.74,1969
1969-12,7.65,3.74,1969
1970-01,7.59,3.66,1970
1970-02,7.52,3.58,1970
1970-03,7.46,3.49,1970
1970-04,7.39,3.41,1970
1970-05,7.91,3.41,1970
1970-06,7.84,3.41,1970
1970-07,7.46,3.41,1970
1970-08,7.42,3.41,1970
1970-09,7.39,3.41,1970
1970-10,7.33,3.41,1970
1970-11,6.86,3.41,1970
1970-12,6.39,3.41,1970
1971-01,6.25,3.25,1971
1971-02,6.11,3.09,1971
1971-03,5.7,3.09,1971
1971-04,5.83,3.09,1971
1971-05,6.18,3.09,1971
1971-06,6.52,3.09,1971
1971-07,6.73,3.09,1971
1971-08,6.43,3.09,1971
1971-09,6.14,3.09,1971
1971-10,5.93,3.09,1971
1971-11,5.81,3.09,1971
1971-12,5.93,3.09,1971
1972-01,6.0,2.9,1972
1972-02,6.08,2.72,1972
1972-03,6.07,2.72,1972
1972-04,6.1,2.72,1972
1972-05,6.13,2.72,1972
1972-06,6.11,2.72,1972
1972-07,6.16,2.72,1972
1972-08,6.21,2.72,1972
1972-09,6.55,2.72,1972
1972-10,6.42,2.72,1972
1972-11,6.28,2.72,1972
1972-12,6.36,2.72,1972
1973-01,6.5,3.51,1973
1973-02,6.64,4.3,1973
1973-03,6.71,4.3,1973
1973-04,6.78,4.3,1973
1973-05,6.85,4.3,1973
1973-06,6.9,4.3,1973
1973-07,7.15,4.3,1973
1973-08,7.4,4.3,1973
1973-09,7.1,4.3,1973
1973-10,6.79,4.3,1973
1973-11,6.73,4.3,1973
1973-12,6.8,4.73,1973
1974-01,6.88,5.16,1974
1974-02,6.96,5.59,1974
1974-03,7.21,5.59,1974
1974-04,7.51,5.59,1974
1974-05,7.58,5.59,1974
1974-06,7.69,5.59,1974
1974-07,7.81,5.59,1974
1974-08,8.04,5.59,1974
1974-09,7.97,5.59,1974
1974-10,7.9,5.59,1974
1974-11,7.68,5.59,1974
1974-12,7.79,5.3,1974
1975-01,7.9,5.01,1975
1975-02,8.01,4.71,1975
1975-03,8.12,4.42,1975
1975-04,8.23,4.13,1975
1975-05,8.06,4.13,1975
1975-06,8.06,4.13,1975
1975-07,8.06,4.13,1975
1975-08,8.4,4.13,1975
1975-09,8.27,4.13,1975
1975-10,8.14,4.13,1975
1975-11,8.07,4.13,1975
1975-12,8.0,4.13,1975
1976-01,7.91,4.27,1976
1976-02,7.82,4.41,1976
1976-03,7.73,4.55,1976
1976-04,7.56,4.55,1976
1976-05,7.71,4.55,1976
1976-06,7.86,4.55,1976
1976-07,7.83,4.55,1976
1976-08,7.71,4.55,1976
1976-09,7.59,4.55,1976
1976-10,7.41,4.55,1976
1976-11,7.29,4.55,1976
1976-12,6.87,4.55,1976
1977-01,7.13,5.24,1977
1977-02,7.39,5.92,1977
1977-03,7.46,5.92,1977
1977-04,7.37,5.92,1977
1977-05,7.32,5.92,1977
1977-06,7.28,5.92,1977
1977-07,7.33,5.92,1977
1977-08,7.4,5.92,1977
1977-09,7.34,5.92,1977
1977-10,7.46,5.92,1977
1977-11,7.58,5.92,1977
1977-12,7.69,5.92,1977
1978-01,7.86,5.82,1978
1978-02,8.03,5.72,1978
1978-03,8.04,5.72,1978
1978-04,8.19,5.72,1978
1978-05,8.35,5.72,1978
1978-06,8.46,5.72,1978
1978-07,8.44,5.72,1978
1978-08,8.41,5.72,1978
1978-09,8.42,5.72,1978
1978-10,8.61,5.72,1978
1978-11,8.8,5.72,1978
1978-12,9.01,5.72,1978
1979-01,9.05,6.08,1979
1979-02,9.1,6.45,1979
1979-03,9.12,6.45,1979
1979-04,9.18,6.45,1979
1979-05,9.25,6.45,1979
1979-06,8.91,6.45,1979
1979-07,8.97,6.45,1979
1979-08,9.03,6.45,1979
1979-09,9.66,6.45,1979
1979-10,10.3,6.45,1979
1979-11,10.65,6.45,1979
1979-12,11.24,5.98,1979
1980-01,11.83,5.5,1980
1980-02,12.41,5.03,1980
1980-03,11.94,5.03,1980
1980-04,11.47,5.03,1980
1980-05,10.18,5.03,1980
1980-06,10.21,5.03,1980
1980-07,10.25,5.03,1980
1980-08,11.1,5.03,1980
1980-09,11.43,5.03,1980
1980-10,11.75,5.03,1980
1980-11,12.3,5.03,1980
1980-12,12.84,5.03,1980
1981-01,13.05,5.2,1981
1981-02,13.26,5.38,1981
1981-03,13.47,5.56,1981
1981-04,13.68,5.73,1981
1981-05,14.1,5.73,1981
1981-06,13.47,5.73,1981
1981-07,14.28,5.73,1981
1981-08,14.8,5.73,1981
1981-09,15.32,5.73,1981
1981-10,15.15,5.73,1981
1981-11,14.44,5.73,1981
1981-12,13.72,5.73,1981
1982-01,14.08,5.32,1982
1982-02,14.43,4.9,1982
1982-03,13.86,4.9,1982
1982-04,13.87,4.9,1982
1982-05,14.09,4.9,1982
1982-06,14.3,4.9,1982
1982-07,13.95,4.9,1982
1982-08,13.14,4.9,1982
1982-09,12.34,4.9,1982
1982-10,10.91,4.9,1982
1982-11,10.55,4.9,1982
1982-12,10.54,4.9,1982
1983-01,10.63,4.61,1983
1983-02,10.72,4.31,1983
1983-03,10.51,4.31,1983
1983-04,10.62,4.31,1983
1983-05,10.73,4.31,1983
1983-06,10.85,4.31,1983
1983-07,11.38,4.31,1983
1983-08,11.85,4.31,1983
1983-09,11.65,4.31,1983
1983-10,11.67,4.31,1983
1983-11,11.69,4.31,1983
1983-12,11.83,4.31,1983
1984-01,11.84,4.71,1984
1984-02,11.84,5.11,1984
1984-03,12.32,5.11,1984
1984-04,12.86,5.11,1984
1984-05,13.41,5.11,1984
1984-06,13.56,5.11,1984
1984-07,13.14,5.11,1984
1984-08,12.72,5.11,1984
1984-09,12.44,5.11,1984
1984-10,12.16,5.11,1984
1984-11,11.57,5.11,1984
1984-12,11.55,4.69,1984
1985-01,11.53,4.26,1985
1985-02,11.51,3.84,1985
1985-03,11.86,3.84,1985
1985-04,11.43,3.84,1985
1985-05,10.85,3.84,1985
1985-06,10.58,3.84,1985
1985-07,10.31,3.84,1985
1985-08,10.33,3.84,1985
1985-09,10.28,3.84,1985
1985-10,10.24,3.84,1985
1985-11,9.78,3.84,1985
1985-12,9.29,3.79,1985
1986-01,8.79,3.74,1986
1986-02,8.29,3.68,1986
1986-03,7.8,3.63,1986
1986-04,7.3,3.58,1986
1986-05,7.71,3.58,1986
1986-06,7.51,3.58,1986
1986-07,7.3,3.58,1986
1986-08,7.17,3.58,1986
1986-09,7.3,3.58,1986
1986-10,7.43,3.58,1986
1986-11,7.27,3.58,1986
1986-12,7.11,3.58,1986
1987-01,7.34,3.68,1987
1987-02,7.57,3.78,1987
1987-03,7.8,3.89,1987
1987-04,8.02,3.99,1987
1987-05,8.61,3.99,1987
1987-06,8.4,3.99,1987
1987-07,8.45,3.99,1987
1987-08,8.93,3.99,1987
1987-09,9.42,3.99,1987
