,Date,Revenue,Net Income,Depreciation,Capex,PPE,Cash and ST Investments,Cash,Assets Current,Assets,Liabilities Current,Liabilities,Long Term Debt,Shares,kd,tax,Operating Cash Flow
0,2024-06-30,85777000000,21448000000,2850000000,2151000000,44502000000,61801000000,25565000000,125435000000,331612000000,131624000000,264904000000,86196000000.0,15222259000,0.041351169443042235,0.15675860460400626,28858000000
1,2024-03-31,90753000000,23636000000,2836000000,1996000000,43546000000,67150000000,32695000000,128416000000,337411000000,123822000000,263217000000,91831000000.0,15337686000,0.041351169443042235,0.15305881771458302,22690000000
2,2023-12-31,119575000000,33916000000,2848000000,2392000000,43666000000,73100000000,40760000000,143692000000,353514000000,133973000000,279414000000,95088000000.0,15460223000,0.041351169443042235,0.14961748006010223,39895000000
3,2023-09-30,88496000000,22956000000,2653000000,2163000000,43715000000,61555000000,29965000000,143566000000,352583000000,145308000000,290437000000,95281000000.0,15550061000,0.04051174945686968,0.14913821019778148,21598000000
4,2023-06-30,80799000000,19881000000,3052000000,2093000000,43550000000,62482000000,28408000000,122659000000,335038000000,124963000000,274764000000,98071000000.0,15647868000,0.03936943642870981,0.14875625396377987,26380000000
5,2023-03-31,94836000000,24160000000,2898000000,2916000000,43398000000,24687000000,24687000000,112913000000,332160000000,120075000000,270002000000,97041000000.0,15723406000,0.038025164621139515,0.14913821019778148,28560000000
6,2023-03-31,94836000000,24160000000,2898000000,2916000000,43398000000,24687000000,24687000000,112913000000,332160000000,120075000000,270002000000,97041000000.0,15723406000,0.03585082593955132,0.15044061896339572,28560000000
7,2022-12-31,116151000000,29998000000,2916000000,3787000000,42951000000,51355000000,20535000000,128777000000,346747000000,137286000000,290020000000,99627000000.0,15842407000,0.0325213044656569,0.15388195661787654,34005000000
8,2022-09-30,89319000000,20721000000,2865000000,3289000000,42117000000,48304000000,23646000000,135405000000,352755000000,153982000000,302083000000,98959000000.0,15943425000,0.029618326781798522,0.15388195661787654,24127000000
9,2022-06-30,82240000000,19442000000,2805000000,2102000000,40335000000,48231000000,27502000000,112292000000,336309000000,129873000000,278202000000,94700000000.0,16095378000,0.029313621964097147,0.15044061896339572,22892000000
10,2022-03-31,96587000000,25010000000,2737000000,2514000000,39304000000,51511000000,28098000000,118180000000,350662000000,127508000000,283263000000,103323000000.0,16207568000,0.026344569940865054,0.14659069163186583,28166000000
11,2021-12-31,123251000000,34630000000,2697000000,2803000000,39245000000,63913000000,37119000000,153154000000,381191000000,147574000000,309259000000,106629000000.0,16340851000,0.025330819945793358,0.14438132588257496,46966000000
12,2021-09-30,82688000000,20551000000,2989000000,3223000000,39440000000,62639000000,34940000000,134836000000,351002000000,125481000000,287912000000,109106000000.0,16426786000,0.024242479790295677,0.14438132588257496,20200000000
13,2021-06-30,80769000000,21744000000,2832000000,2093000000,38615000000,61696000000,34050000000,114423000000,329840000000,107754000000,265560000000,105752000000.0,16556942000,0.02465201603752175,0.14731080068249225,21094000000
14,2021-03-31,88914000000,23630000000,2797000000,2269000000,37815000000,69834000000,38466000000,121465000000,337158000000,106385000000,267980000000,108642000000.0,16686305000,0.02429078993391138,0.15044061896339572,23981000000
15,2020-12-31,110801000000,28755000000,2666000000,3500000000,37933000000,76826000000,36010000000,154106000000,354054000000,132507000000,287830000000,99281000000.0,16823263000,0.027457418841470172,0.15044061896339572,38763000000
16,2020-09-30,64698000000,24689000000,2702000000,1784000000,36766000000,90943000000,38016000000,143713000000,323888000000,105392000000,258549000000,98667000000.0,16976763000,0.029118144871132193,0.15405346833083053,20576000000
17,2020-06-30,58988000000,11253000000,2752000000,1565000000,35687000000,93025000000,33383000000,140065000000,317344000000,95318000000,245062000000,94048000000.0,4283939000,0.032419615515481455,0.15928353941287754,16271000000
18,2020-03-31,57556000000,11249000000,2786000000,1853000000,35889000000,94051000000,40174000000,143753000000,320400000000,96094000000,241975000000,89086000000.0,4323987000,0.036122398581146305,0.16333761260216062,13311000000
